"TOK_added","DATE_added","SHOT_added","TIME_added","α0","αI","αB","αP","αn","αM","αR","αe","αk","ind_added","id"
"AUGW",20081106,23971,3.25,0.10566,0.771864,0.237266,-0.608462,0.382546,0.184345,1.99144,0.712004,0.430361,3100,784
"AUG",20020122,15110,5.6,0.105658,0.771689,0.237726,-0.608534,0.382324,0.184298,1.99145,0.712655,0.430756,2296,449
"AUGW",20171026,34945,6,0.105631,0.772653,0.23755,-0.609302,0.382787,0.183775,1.99145,0.712051,0.431098,3875,1498
"JET",20020522,55953,61.3777770996094,0.105706,0.771045,0.238439,-0.608625,0.38249,0.184515,1.99145,0.713533,0.432218,9258,2201
"AUGW",20090514,24423,2.75,0.105661,0.771842,0.237336,-0.608504,0.382532,0.184363,1.99146,0.71206,0.430557,3108,792
"AUGW",20121023,28726,4.1,0.105645,0.772529,0.237205,-0.609018,0.382785,0.184161,1.99147,0.711966,0.429927,3466,1108
"JETILW",20160413,90580,59,0.1057,0.771454,0.237971,-0.608679,0.382906,0.184372,1.99147,0.712917,0.431442,10323,3176
"AUGW",20171026,34945,5,0.105632,0.772631,0.23755,-0.609293,0.382807,0.183784,1.99148,0.712084,0.431075,3874,1497
"AUGW",20080410,23018,1.85,0.105664,0.771677,0.237535,-0.608443,0.38246,0.184373,1.99149,0.712458,0.430584,3074,760
"AUGW",20120705,28330,2.85,0.105654,0.77229,0.237,-0.608806,0.38257,0.184457,1.9915,0.711775,0.42994,3433,1077
"JETILW",20160404,90410,46.5,0.105703,0.771049,0.238437,-0.608228,0.38308,0.183995,1.9915,0.7136,0.431281,10299,3152
"AUG",19960515,8153,3.885,0.10565,0.771332,0.238663,-0.608579,0.382096,0.183895,1.99151,0.714036,0.431591,1618,62
"AUG",19990408,11939,3.5,0.105693,0.770354,0.239841,-0.608518,0.381872,0.184884,1.99152,0.714819,0.434308,1973,265
"AUGW",20171026,34946,6,0.105623,0.772961,0.237632,-0.609732,0.382699,0.183654,1.99152,0.712126,0.431486,3880,1503
"JETILW",20151118,89102,46.5,0.10571,0.771009,0.238351,-0.608267,0.38293,0.184189,1.99152,0.713453,0.431521,10179,3032
"AUG",19980227,10009,3.15,0.105639,0.772313,0.237742,-0.609141,0.382427,0.183932,1.99153,0.71272,0.430813,1747,140
"AUGW",20171026,34946,4.1,0.105632,0.772597,0.237555,-0.609289,0.382836,0.183796,1.99153,0.712136,0.431077,3878,1501
"JET",19980109,43874,70.39,0.105704,0.770765,0.23892,-0.608206,0.382865,0.183968,1.99153,0.714305,0.43175,8319,1527
"JETILW",20151118,89090,46.5,0.10571,0.771008,0.238354,-0.608276,0.382923,0.184204,1.99153,0.713464,0.431537,10173,3026
"JETILW",20160315,90146,53.5,0.105701,0.771361,0.237968,-0.608615,0.382985,0.184327,1.99153,0.712942,0.431511,10250,3103
"AUGW",20091021,25415,5.75,0.105663,0.771781,0.237331,-0.608462,0.382608,0.184368,1.99154,0.712151,0.430456,3153,833
"JETILW",20120215,82283,56.2,0.105717,0.770401,0.23904,-0.608481,0.381946,0.184679,1.99155,0.714479,0.433234,9756,2609
